player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits,forced
1,0,0,0,2-3-7-8,0.012349952079218417,0.9876500479207816,1018,
1,0,0,0,2-3-7-9,0.14164638598654786,0.8583536140134521,918,
1,0,0,0,2-3-8-10,0.005369216240301382,0.9946307837596987,3760,
1,0,0,0,2-3-8-8,0.6379108263569303,0.36208917364306964,368,
1,0,0,0,2-3-8-9,0.09663746004169887,0.9033625399583012,986,
1,0,0,0,2-3-9-10,0.00013007284079084288,0.9998699271592092,3844,
1,0,0,0,2-3-9-9,0.15400528458706605,0.8459947154129339,392,
1,0,0,0,2-4-10-10,0.0,1.0,7004,DRAW
1,0,0,0,2-4-4-10,0.018077700530838584,0.9819222994691614,1378,
1,0,0,0,2-4-4-4,0.3,0.7,60,
1,0,0,0,2-4-4-5,0.8679950836952927,0.13200491630470743,334,
1,0,0,0,2-4-4-6,0.98224043715847,0.017759562841530054,366,
1,0,0,0,2-4-4-7,0.4371994037809528,0.5628005962190472,360,
1,0,0,0,2-4-4-8,0.9251535890164121,0.07484641098358792,384,
1,0,0,0,2-4-4-9,0.08290641343740361,0.9170935865625963,332,
1,0,0,0,2-4-5-10,0.017497390943861265,0.9825026090561387,3890,
1,0,0,0,2-4-5-5,0.9722222222222222,0.027777777777777787,366,
1,0,0,0,2-4-5-6,0.9850332594235033,0.014966740576496674,902,
1,0,0,0,2-4-5-7,0.9371287769226051,0.06287122307739491,918,
1,0,0,0,2-4-5-8,0.9385625871013046,0.061437412898695365,976,
1,0,0,0,2-4-5-9,0.985685401757142,0.014314598242857976,1020,
1,0,0,0,2-4-6-10,0.00012626262626262626,0.9998737373737374,3960,
1,0,0,0,2-4-6-6,0.945867625006382,0.054132374993618046,386,
1,0,0,0,2-4-6-7,0.9753299446974573,0.024670055302542723,956,
1,0,0,0,2-4-6-8,0.21332981115242058,0.7866701888475793,986,
1,0,0,0,2-4-6-9,0.8881550253875673,0.11184497461243266,922,
1,0,0,0,2-4-7-10,0.005954816353637663,0.9940451836463623,3892,
1,0,0,0,2-4-7-7,0.9015244399801898,0.09847556001981012,330,
1,0,0,0,2-4-7-8,0.7270892019230536,0.2729107980769464,924,
1,0,0,0,2-4-7-9,0.0016483516483516484,0.9983516483516484,910,
1,0,0,0,2-4-8-10,0.00012748597654258032,0.9998725140234574,3922,
1,0,0,0,2-4-8-8,0.17729961566284616,0.8227003843371539,396,
1,0,0,0,2-4-8-9,0.0015822784810126582,0.9984177215189873,948,
1,0,0,0,2-4-9-10,0.001032247545024152,0.9989677524549758,3744,
1,0,0,0,2-4-9-9,0.0014124293785310734,0.998587570621469,354,
1,0,0,0,2-5-10-10,0.0,1.0,7088,DRAW
1,0,0,0,2-5-5-10,0.004922546150499998,0.9950774538495,1382,
1,0,0,0,2-5-5-5,0.946969696969697,0.05303030303030303,66,
1,0,0,0,2-5-5-6,0.9920382165605095,0.007961783439490446,314,
1,0,0,0,2-5-5-7,0.43726088786172757,0.5627391121382724,366,
1,0,0,0,2-5-5-8,0.1726442940280548,0.8273557059719452,346,
1,0,0,0,2-5-5-9,0.015714285714285715,0.9842857142857143,350,
1,0,0,0,2-5-6-10,0.002509244585314316,0.9974907554146857,3786,
1,0,0,0,2-5-6-6,0.7889230415860836,0.21107695841391644,400,
1,0,0,0,2-5-6-7,0.9269725275856747,0.07302747241432528,988,
1,0,0,0,2-5-6-8,0.6616039912484929,0.3383960087515071,936,
1,0,0,0,2-5-6-9,0.005499799538471584,0.9945002004615284,966,
1,0,0,0,2-5-7-10,0.003170087145591544,0.9968299128544085,3908,
1,0,0,0,2-5-7-7,0.8962634429272498,0.10373655707275016,386,
1,0,0,0,2-5-7-8,0.10631146569604744,0.8936885343039526,904,
1,0,0,0,2-5-7-9,0.000502008032128514,0.9994979919678715,996,
1,0,0,0,2-5-8-10,0.009481857136381954,0.9905181428636181,3774,
1,0,0,0,2-5-8-8,0.08422877592232286,0.9157712240776771,344,
1,0,0,0,2-5-8-9,0.01485655737704918,0.9851434426229508,976,
