player,turn,p1_draws,p2_draws,hand,ev_bucket,stop_prob,draw_prob,visits,forced
1,0,0,0,1-4-5-10,3,0.0003741709669656108,0.9996258290330343,38228,
1,0,0,0,1-4-5-5,1,0.9893149882903981,0.010685011709601873,3416,
1,0,0,0,1-4-5-6,1,0.9943055970388561,0.005694402961143854,9608,
1,0,0,0,1-4-5-7,2,0.9950590465616951,0.0049409534383047906,9684,
1,0,0,0,1-4-5-8,2,0.9993434255132271,0.0006565744867728081,9488,
1,0,0,0,1-4-5-9,3,0.033761063978583895,0.966238936021416,9448,
1,0,0,0,1-4-6-10,3,9.347783604141433e-05,0.9999065221639587,37912,
1,0,0,0,1-4-6-6,1,0.9998604131769961,0.00013958682300390843,3582,
1,0,0,0,1-4-6-7,2,0.9792982478148458,0.020701752185154184,9526,
1,0,0,0,1-4-6-8,2,0.8733843466401512,0.1266156533598488,9444,
1,0,0,0,1-4-6-9,3,0.010449602149784848,0.9895503978502151,9572,
1,0,0,0,1-4-7-10,3,1.3261192446424782e-05,0.9999867388075536,37704,
1,0,0,0,1-4-7-7,2,0.868960723690815,0.13103927630918497,3580,
1,0,0,0,1-4-7-8,2,0.003391690814928325,0.9966083091850716,9528,
1,0,0,0,1-4-7-9,3,0.0043050069353057965,0.9956949930646941,9394,
1,0,0,0,1-4-8-10,3,1.3196093956188968e-05,0.9999868039060438,37890,
1,0,0,0,1-4-8-8,2,0.0001375894331315355,0.9998624105668684,3634,
1,0,0,0,1-4-8-9,3,0.004932054808613608,0.9950679451913864,9694,
1,0,0,0,1-4-9-10,3,0.0015400183029396727,0.9984599816970604,37804,
1,0,0,0,1-4-9-9,3,0.00042492917847025496,0.9995750708215297,3530,
1,0,0,0,1-5-10-10,3,0.0,1.0,71202,DRAW
1,0,0,0,1-5-5-10,3,0.004949692623025631,0.9950503073769743,14230,
1,0,0,0,1-5-5-5,1,0.7183056877490491,0.2816943122509509,616,
1,0,0,0,1-5-5-6,1,0.9982865814721911,0.0017134185278089545,3530,
1,0,0,0,1-5-5-7,2,0.8917919822699872,0.10820801773001266,3562,
1,0,0,0,1-5-5-8,2,0.9330646699711908,0.06693533002880918,3660,
1,0,0,0,1-5-5-9,3,0.03178459146662036,0.9682154085333796,3370,
1,0,0,0,1-5-6-10,3,1.3090375955597446e-05,0.9999869096240444,38196,
1,0,0,0,1-5-6-6,1,0.9912264178083824,0.008773582191617621,3662,
1,0,0,0,1-5-6-7,2,0.9808775219799255,0.019122478020074597,9332,
1,0,0,0,1-5-6-8,2,0.9987591466167265,0.001240853383273476,9314,
1,0,0,0,1-5-6-9,3,0.04185851903781612,0.9581414809621838,9438,
1,0,0,0,1-5-7-10,3,0.0002303116445567488,0.9997696883554432,37992,
1,0,0,0,1-5-7-7,2,0.9316233607950188,0.06837663920498112,3530,
1,0,0,0,1-5-7-8,2,0.007424740394645699,0.9925752596053543,9294,
1,0,0,0,1-5-7-9,3,0.007394627144515486,0.9926053728554846,9560,
1,0,0,0,1-5-8-10,3,0.00019416938396188554,0.9998058306160381,37708,
1,0,0,0,1-5-8-8,2,0.03932004184945799,0.960679958150542,3530,
1,0,0,0,1-5-8-9,3,0.00027520915896081023,0.9997247908410392,9084,
1,0,0,0,1-5-9-10,3,1.32471386180585e-05,0.999986752861382,37744,
1,0,0,0,1-5-9-9,3,0.00042759407069555304,0.9995724059293044,3508,
1,0,0,0,1-6-10-10,3,0.0,1.0,71704,DRAW
1,0,0,0,1-6-6-10,3,0.0023396648727770698,0.997660335127223,14220,
1,0,0,0,1-6-6-6,1,0.882179493078281,0.11782050692171893,594,
1,0,0,0,1-6-6-7,2,0.9922300558896079,0.007769944110392133,3594,
1,0,0,0,1-6-6-8,2,0.41965317614412534,0.5803468238558747,3562,
1,0,0,0,1-6-6-9,3,0.0037975817339504204,0.9962024182660496,3616,
1,0,0,0,1-6-7-10,3,0.0007575125324509765,0.999242487467549,38378,
1,0,0,0,1-6-7-7,2,0.7137967969633733,0.28620320303662683,3502,
1,0,0,0,1-6-7-8,2,0.00026063386155129273,0.9997393661384487,9592,
1,0,0,0,1-6-7-9,3,0.001769770044108104,0.9982302299558918,9352,
1,0,0,0,1-6-8-10,3,0.00017947604309614875,0.9998205239569038,37792,
1,0,0,0,1-6-8-8,2,0.0212848910634058,0.9787151089365942,3714,
1,0,0,0,1-6-8-9,3,0.0005823544627760808,0.999417645537224,9370,
1,0,0,0,1-6-9-10,3,0.0,1.0,37932,DRAW
1,0,0,0,1-6-9-9,3,0.00014180374361883155,0.9998581962563812,3526,
1,0,0,0,1-7-10-10,4,0.0,1.0,71124,DRAW
1,0,0,0,1-7-7-10,3,0.00010683760683760684,0.9998931623931624,14040,
1,0,0,0,1-7-7-7,2,0.642947881719199,0.3570521182808011,562,
1,0,0,0,1-7-7-8,2,0.009705187307882036,0.9902948126921179,3586,
1,0,0,0,1-7-7-9,3,0.0007699958207151518,0.9992300041792849,3532,
1,0,0,0,1-7-8-10,3,0.0,1.0,38066,DRAW
1,0,0,0,1-7-8-8,2,0.00014654161781946072,0.9998534583821805,3412,
1,0,0,0,1-7-8-9,3,0.000376587045405638,0.9996234129545943,9294,
1,0,0,0,1-7-9-10,3,0.0,1.0,38020,DRAW
1,0,0,0,1-7-9-9,3,0.0,1.0,3526,DRAW
1,0,0,0,1-8-10-10,4,0.0,1.0,71362,DRAW
1,0,0,0,1-8-8-10,3,0.0,1.0,14122,DRAW
1,0,0,0,1-8-8-8,2,0.05223982058336366,0.9477601794166364,584,
1,0,0,0,1-8-8-9,3,0.0,1.0,3706,DRAW
1,0,0,0,1-8-9-10,4,0.0,1.0,37860,DRAW
1,0,0,0,1-8-9-9,3,0.0,1.0,3466,DRAW
1,0,0,0,1-9-10-10,4,0.0,1.0,71078,DRAW
1,0,0,0,1-9-9-10,4,0.0,1.0,13912,DRAW
1,0,0,0,1-9-9-9,3,0.0,1.0,550,DRAW
1,0,0,0,10-10-10-10,4,0.0,1.0,66970,DRAW
1,0,0,0,2-10-10-10,4,0.0,1.0,83046,DRAW
1,0,0,0,2-2-10-10,3,1.8842327404280977e-05,0.9999811576725958,26536,
1,0,0,0,2-2-2-10,3,0.026937047665057032,0.9730629523349429,2368,
1,0,0,0,2-2-2-2,0,0.5,0.5,54,
1,0,0,0,2-2-2-3,0,0.7304560260586319,0.2695439739413681,614,
1,0,0,0,2-2-2-4,0,0.9073770491803279,0.09262295081967213,610,
1,0,0,0,2-2-2-5,1,0.9602272727272727,0.03977272727272727,616,
1,0,0,0,2-2-2-6,1,0.984982332155477,0.015017667844522967,566,
1,0,0,0,2-2-2-7,1,0.6744327741146608,0.3255672258853392,618,
1,0,0,0,2-2-2-8,2,0.4798418774797869,0.5201581225202131,586,
1,0,0,0,2-2-2-9,3,0.10318791946308725,0.8968120805369127,596,
1,0,0,0,2-2-3-10,3,0.0003205584841145462,0.9996794415158855,14038,
1,0,0,0,2-2-3-3,0,0.5490446689706933,0.45095533102930674,1438,
1,0,0,0,2-2-3-4,0,0.9995810055865921,0.0004189944134078212,3580,
1,0,0,0,2-2-3-5,1,0.9964059804485337,0.00359401955146636,3478,
1,0,0,0,2-2-3-6,1,0.9934974786141566,0.0065025213858434915,3408,
1,0,0,0,2-2-3-7,1,0.9990068104426788,0.0009931895573212259,3524,
1,0,0,0,2-2-3-8,2,0.4277003479125507,0.5722996520874494,3446,
1,0,0,0,2-2-3-9,3,0.13822609000145158,0.8617739099985485,3480,
1,0,0,0,2-2-4-10,3,0.001136137758082405,0.9988638622419176,14430,
1,0,0,0,2-2-4-4,0,0.822801621024073,0.17719837897592694,1312,
1,0,0,0,2-2-4-5,1,0.8591700828382604,0.14082991716173962,3530,
1,0,0,0,2-2-4-6,1,0.9325252763065232,0.06747472369347693,3532,
1,0,0,0,2-2-4-7,1,0.9943204169392902,0.005679583060709745,3618,
1,0,0,0,2-2-4-8,2,0.9586170480189468,0.04138295198105326,3442,
1,0,0,0,2-2-4-9,3,0.03568472869306813,0.9643152713069318,3484,
1,0,0,0,2-2-5-10,3,0.005426675523885535,0.9945733244761145,14180,
1,0,0,0,2-2-5-5,1,0.8292046765738195,0.17079532342618065,1370,
1,0,0,0,2-2-5-6,1,0.9966627974463146,0.003337202553685432,3446,
1,0,0,0,2-2-5-7,2,0.9914221233356888,0.008577876664311201,3462,
1,0,0,0,2-2-5-8,2,0.9995798319327731,0.0004201680672268908,3570,
1,0,0,0,2-2-5-9,3,0.002099962513818989,0.9979000374861811,3598,
1,0,0,0,2-2-6-10,3,0.0072426860970397884,0.9927573139029602,14164,
1,0,0,0,2-2-6-6,1,0.9648679628994234,0.03513203710057662,1324,
1,0,0,0,2-2-6-7,2,0.9569563246817177,0.043043675318282335,3420,
1,0,0,0,2-2-6-8,2,0.9814534928404092,0.018546507159590823,3492,
1,0,0,0,2-2-6-9,3,0.010351104925898417,0.9896488950741016,3518,
1,0,0,0,2-2-7-10,3,3.531572255968357e-05,0.9999646842774403,14158,
1,0,0,0,2-2-7-7,2,0.8927455641608204,0.10725443583917958,1322,
1,0,0,0,2-2-7-8,2,0.1377610365692301,0.86223896343077,3600,
1,0,0,0,2-2-7-9,3,0.00014037057832678272,0.9998596294216732,3562,
1,0,0,0,2-2-8-10,3,0.00010463169642857142,0.9998953683035714,14336,
1,0,0,0,2-2-8-8,2,0.0040738302778376085,0.9959261697221624,1294,
1,0,0,0,2-2-8-9,3,0.0008571428571428571,0.9991428571428571,3500,
1,0,0,0,2-2-9-10,3,3.515679932498945e-05,0.999964843200675,14222,
1,0,0,0,2-2-9-9,3,0.0003834355828220859,0.9996165644171779,1304,
1,0,0,0,2-3-10-10,3,0.0001882742513741142,0.9998117257486259,70150,
1,0,0,0,2-3-3-10,3,0.0037055447402270835,0.9962944552597729,14444,
1,0,0,0,2-3-3-3,0,0.9746732026143791,0.025326797385620915,612,
1,0,0,0,2-3-3-4,0,0.8305271067262686,0.16947289327373136,3620,
1,0,0,0,2-3-3-5,1,0.9139412416851441,0.08605875831485588,3608,
1,0,0,0,2-3-3-6,1,0.9768449538328209,0.02315504616717916,3632,
1,0,0,0,2-3-3-7,1,0.9983861502347418,0.001613849765258216,3408,
1,0,0,0,2-3-3-8,2,0.7413643177382669,0.25863568226173306,3586,
1,0,0,0,2-3-3-9,3,0.006548311990686845,0.9934516880093132,3436,
1,0,0,0,2-3-4-10,3,0.0001497454327643007,0.9998502545672358,37842,
1,0,0,0,2-3-4-4,0,0.9800122068083531,0.019987793191646914,3542,
1,0,0,0,2-3-4-5,1,0.9929371990813624,0.007062800918637687,9370,
1,0,0,0,2-3-4-6,1,0.9995259165613148,0.0004740834386852086,9492,
1,0,0,0,2-3-4-7,2,0.9997343251859724,0.00026567481402763017,9410,
1,0,0,0,2-3-4-8,2,0.701134737206278,0.2988652627937221,9240,
1,0,0,0,2-3-4-9,3,0.05298004889171465,0.9470199511082854,9588,
1,0,0,0,2-3-5-10,3,0.0006406030657416667,0.9993593969342583,37856,
1,0,0,0,2-3-5-5,1,0.9995757918552036,0.0004242081447963801,3536,
1,0,0,0,2-3-5-6,1,0.978261475829471,0.021738524170529024,9286,
1,0,0,0,2-3-5-7,2,0.9808762330667993,0.019123766933200732,9292,
1,0,0,0,2-3-5-8,2,0.9864163708221056,0.013583629177894291,9256,
