player,turn,p1_draws,p2_draws,hand,ev_bucket,opp_bound,stop_prob,draw_prob,visits,forced
1,0,0,0,2-2-3-4,0,10,0.9903198653198653,0.00968013468013468,3564,
1,0,0,0,2-2-3-5,1,10,0.9949198430943235,0.005080156905676593,3584,
1,0,0,0,2-2-3-6,1,10,0.9901592728667591,0.00984072713324086,3528,
1,0,0,0,2-2-3-7,1,10,0.9413124567619197,0.05868754323808038,3662,
1,0,0,0,2-2-3-8,2,10,0.9800777177498021,0.019922282250197886,3472,
1,0,0,0,2-2-3-9,3,10,0.012337594192827088,0.987662405807173,3536,
1,0,0,0,2-2-4-10,3,10,0.009737925242680565,0.9902620747573194,14084,
1,0,0,0,2-2-4-4,0,10,0.9996223564954683,0.00037764350453172205,1324,
1,0,0,0,2-2-4-5,1,10,0.9405630153344793,0.05943698466552075,3644,
1,0,0,0,2-2-4-6,1,10,0.9995697074010327,0.0004302925989672978,3486,
1,0,0,0,2-2-4-7,1,10,0.9905511654022825,0.00944883459771749,3622,
1,0,0,0,2-2-4-8,2,10,0.9992770387507229,0.0007229612492770387,3458,
1,0,0,0,2-2-4-9,3,10,0.027579552856743957,0.972420447143256,3478,
1,0,0,0,2-2-5-10,3,10,3.465003465003465e-05,0.9999653499653499,14430,
1,0,0,0,2-2-5-5,1,10,0.9931850789096126,0.0068149210903873745,1394,
1,0,0,0,2-2-5-6,1,10,0.990484429065744,0.009515570934256055,3468,
1,0,0,0,2-2-5-7,2,10,0.9138499586000793,0.08615004139992062,3584,
1,0,0,0,2-2-5-8,2,10,0.9955494093720935,0.004450590627906526,3606,
1,0,0,0,2-2-5-9,3,10,0.09567624574246283,0.9043237542575372,3562,
1,0,0,0,2-2-6-10,3,10,3.5014005602240894e-05,0.9999649859943978,14280,
1,0,0,0,2-2-6-6,1,10,0.8655680419311947,0.13443195806880526,1340,
1,0,0,0,2-2-6-7,2,10,0.9617230286828345,0.03827697131716553,3544,
1,0,0,0,2-2-6-8,2,10,0.8067745156132986,0.19322548438670148,3460,
1,0,0,0,2-2-6-9,3,10,0.019741362924445005,0.9802586370755549,3512,
1,0,0,0,2-2-7-10,3,10,0.0046516509976488535,0.9953483490023511,14242,
1,0,0,0,2-2-7-7,2,10,0.13710003271901608,0.862899967280984,1338,
1,0,0,0,2-2-7-8,2,10,0.24984448171664497,0.750155518283355,3538,
1,0,0,0,2-2-7-9,3,10,0.02365116560429333,0.9763488343957066,3514,
1,0,0,0,2-2-8-10,3,10,0.00045755314655779246,0.9995424468534422,14206,
1,0,0,0,2-2-8-8,2,10,0.0181304516605723,0.9818695483394277,1438,
1,0,0,0,2-2-8-9,3,10,0.06617674667113597,0.933823253328864,3538,
1,0,0,0,2-2-9-10,3,10,0.00010569334836527621,0.9998943066516347,14192,
1,0,0,0,2-2-9-9,3,10,0.01358072934449299,0.9864192706555069,1344,
1,0,0,0,2-3-10-10,3,10,0.00011663002809668547,0.9998833699719032,71180,
1,0,0,0,2-3-3-10,3,10,0.004999058350211397,0.9950009416497886,14126,
1,0,0,0,2-3-3-3,0,10,0.9755067567567568,0.024493243243243243,592,
1,0,0,0,2-3-3-4,0,10,0.9841742737350476,0.015825726264952378,3554,
1,0,0,0,2-3-3-5,1,10,0.9985054347826087,0.0014945652173913044,3680,
1,0,0,0,2-3-3-6,1,10,0.8815642231075981,0.11843577689240195,3376,
1,0,0,0,2-3-3-7,1,10,0.972845295839389,0.027154704160611047,3480,
1,0,0,0,2-3-3-8,2,10,0.737730218466576,0.26226978153342384,3524,
