player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,15,8,7,3-3-5-5,0.010416666666666666,0.9895833333333334,3456
2,15,8,7,3-3-5-6,0.0015473032714412025,0.9984526967285589,2262
2,15,8,7,3-3-5-7,0.00267379679144385,0.9973262032085561,374
2,15,8,7,3-3-5-8,0.15555555555555556,0.8444444444444444,45
2,15,8,7,3-3-5-9,0.5,0.5,1
2,15,8,7,3-3-6-6,0.0006031363088057901,0.9993968636911942,829
2,15,8,7,3-3-6-7,0.0026041666666666665,0.9973958333333334,384
2,15,8,7,3-3-6-8,0.029411764705882353,0.9705882352941176,34
2,15,8,7,3-3-6-9,0.5,0.5,2
2,15,8,7,3-3-7-7,0.08148148148148149,0.9185185185185185,135
2,15,8,7,3-3-7-8,0.2638888888888889,0.7361111111111112,36
2,15,8,7,3-3-7-9,0.5,0.5,1
2,15,8,7,3-3-8-8,0.2916666666666667,0.7083333333333334,12
2,15,8,7,3-4-4-4,0.0013736263736263737,0.9986263736263736,6188
2,15,8,7,3-4-4-5,0.0015989036089538603,0.9984010963910461,8756
2,15,8,7,3-4-4-6,0.0028888888888888888,0.9971111111111111,2250
2,15,8,7,3-4-4-7,0.015957446808510637,0.9840425531914894,376
2,15,8,7,3-4-4-8,0.1111111111111111,0.8888888888888888,45
2,15,8,7,3-4-5-5,0.0001409046075806679,0.9998590953924194,7097
2,15,8,7,3-4-5-6,0.006639657888813865,0.9933603421111862,4443
2,15,8,7,3-4-5-7,0.015625,0.984375,736
2,15,8,7,3-4-5-8,0.1794871794871795,0.8205128205128205,78
2,15,8,7,3-4-5-9,0.5,0.5,2
2,15,8,7,3-4-6-6,0.00625,0.99375,1680
2,15,8,7,3-4-6-7,0.004469987228607918,0.9955300127713921,783
2,15,8,7,3-4-6-8,0.15789473684210525,0.8421052631578947,76
2,15,8,7,3-4-6-9,0.5,0.5,3
2,15,8,7,3-4-7-7,0.003367003367003367,0.9966329966329966,297
2,15,8,7,3-4-7-8,0.060240963855421686,0.9397590361445783,83
2,15,8,7,3-4-7-9,0.5,0.5,5
2,15,8,7,3-4-8-8,0.328125,0.671875,32
2,15,8,7,3-4-8-9,0.5,0.5,2
2,15,8,7,3-5-5-5,0.007032007759456838,0.9929679922405431,2062
2,15,8,7,3-5-5-6,0.0006922011998154131,0.9993077988001846,2167
2,15,8,7,3-5-5-7,0.12094763092269327,0.8790523690773068,401
2,15,8,7,3-5-5-8,0.0641025641025641,0.9358974358974359,39
2,15,8,7,3-5-6-6,0.0011792452830188679,0.9988207547169812,1696
2,15,8,7,3-5-6-7,0.06735751295336788,0.9326424870466321,772
2,15,8,7,3-5-6-8,0.02631578947368421,0.9736842105263158,95
2,15,8,7,3-5-6-9,0.5,0.5,5
2,15,8,7,3-5-7-10,0.5,0.5,1
2,15,8,7,3-5-7-7,0.003257328990228013,0.996742671009772,307
2,15,8,7,3-5-7-8,0.01764705882352941,0.9823529411764705,85
2,15,8,7,3-5-7-9,0.5,0.5,2
2,15,8,7,3-5-8-8,0.5,0.5,26
2,15,8,7,3-5-8-9,0.5,0.5,3
2,15,8,7,3-6-6-6,0.07534246575342465,0.9246575342465754,438
2,15,8,7,3-6-6-7,0.03836317135549872,0.9616368286445013,391
2,15,8,7,3-6-6-8,0.05952380952380952,0.9404761904761905,42
2,15,8,7,3-6-7-7,0.014,0.986,250
2,15,8,7,3-6-7-8,0.046511627906976744,0.9534883720930233,86
2,15,8,7,3-6-7-9,0.5,0.5,4
2,15,8,7,3-6-8-8,0.5,0.5,21
2,15,8,7,3-7-7-7,0.5,0.5,77
2,15,8,7,3-7-7-8,0.011363636363636364,0.9886363636363636,44
